trial_name,win_ratio,validation_loss,train_loss,total_time,selfplay_time,game_len,use_slap,num_ResBlock,optimizer,buffer_size,c_puct,learn_rate,dropout,L2,explore,noise,Dirichlet
s0_Adam_0.001lr_0drp_0.001L2_5cp_0noise0_0.15D_0expl_10000buf,0.03333333333333333,3.4771751022338866,2.0985233783721924,5508.304051876068,5250.850214481354,24.352,replace,0,Adam,10000,5,0.001,0,0.001,0,"(0, 0)",0.15
s0_Adam_0.001lr_0drp_0.001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.0,5.095423974990845,2.862898826599121,6029.9163982868195,5776.700221776962,28.412,replace,0,Adam,10000,5,0.001,0,0.001,0,"(0.25, 0.25)",0.15
s0_Adam_0.001lr_0drp_0.001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.10000000000000002,4.614510374069214,2.803340435028076,5220.311994314194,4971.441096305847,25.14,replace,0,Adam,10000,5,0.001,0,0.001,0,"(0.25, 0.25)",0.3
s0_Adam_0.001lr_0drp_0.001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.0,5.299879312515259,2.9061098098754883,5472.300704956055,5200.7083950042725,26.412,replace,0,Adam,10000,5,0.001,0,0.001,0,"(0.1, 0.4)",0.15
s0_Adam_0.001lr_0drp_0.001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.03333333333333333,3.8362680149078368,2.6412060260772705,4981.272023439407,4701.2602689266205,24.084,replace,0,Adam,10000,5,0.001,0,0.001,0,"(0.1, 0.4)",0.3
s0_Adam_0.001lr_0drp_0.001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.03333333333333333,4.134999074935913,2.0772290229797363,6224.348458766937,5961.507157087326,28.596,replace,0,Adam,10000,5,0.001,0,0.001,0.25,"(0, 0)",0.15
s0_Adam_0.001lr_0drp_0.001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.0,5.096151485443115,2.8057477474212646,5704.368119955063,5468.730154514313,28.632,replace,0,Adam,10000,5,0.001,0,0.001,0.25,"(0.25, 0.25)",0.15
s0_Adam_0.001lr_0drp_0.001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.06666666666666667,5.112183713912964,2.7846484184265137,5601.999039411545,5351.867347955704,28.208,replace,0,Adam,10000,5,0.001,0,0.001,0.25,"(0.25, 0.25)",0.3
s0_Adam_0.001lr_0drp_0.001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.06666666666666667,5.093651084899903,2.717001438140869,6387.140518665314,6011.279997825623,29.412,replace,0,Adam,10000,5,0.001,0,0.001,0.25,"(0.1, 0.4)",0.15
s0_Adam_0.001lr_0drp_0.001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.03333333333333333,5.6008263778686525,2.8719329833984375,9725.34369802475,9278.7815387249,28.46,replace,0,Adam,10000,5,0.001,0,0.001,0.25,"(0.1, 0.4)",0.3
s0_Adam_0.001lr_0drp_0.0001L2_5cp_0noise0_0.15D_0expl_10000buf,0.10000000000000002,3.8596796655654906,2.0263102054595947,9927.86778998375,9459.744299650192,24.28,replace,0,Adam,10000,5,0.001,0,0.0001,0,"(0, 0)",0.15
s0_Adam_0.001lr_0drp_0.0001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.0,4.940115070343017,2.7644922733306885,8541.55624294281,8274.962117910385,26.656,replace,0,Adam,10000,5,0.001,0,0.0001,0,"(0.25, 0.25)",0.15
