trial_name,win_ratio,validation_loss,train_loss,total_time,selfplay_time,game_len,use_slap,num_ResBlock,optimizer,buffer_size,c_puct,learn_rate,dropout,L2,explore,noise,Dirichlet
s0_Adam_0.0005lr_0drp_0.001L2_5cp_0noise0_0.15D_0expl_10000buf,0.0,3.9428443145751952,2.270352602005005,4923.3377022743225,4624.615573644638,22.18,replace,0,Adam,10000,5,0.0005,0,0.001,0,"(0, 0)",0.15
s0_Adam_0.0005lr_0drp_0.001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.0,5.27617919921875,2.9896857738494873,5779.105615377426,5525.8828094005585,28.456,replace,0,Adam,10000,5,0.0005,0,0.001,0,"(0.25, 0.25)",0.15
s0_Adam_0.0005lr_0drp_0.001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.06666666666666667,4.739394731521607,3.0749754905700684,5033.320529699326,4784.843103885651,24.444,replace,0,Adam,10000,5,0.0005,0,0.001,0,"(0.25, 0.25)",0.3
s0_Adam_0.0005lr_0drp_0.001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.13333333333333333,4.307773056030274,2.870325803756714,5213.206427335739,4944.076661109924,25.9,replace,0,Adam,10000,5,0.0005,0,0.001,0,"(0.1, 0.4)",0.15
s0_Adam_0.0005lr_0drp_0.001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.06666666666666667,3.402583694458008,2.9725985527038574,4934.752401351929,4642.279211997986,22.548,replace,0,Adam,10000,5,0.0005,0,0.001,0,"(0.1, 0.4)",0.3
s0_Adam_0.0005lr_0drp_0.001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.0,4.385292139053345,2.3283908367156982,7178.133414506912,6885.5863716602325,29.616,replace,0,Adam,10000,5,0.0005,0,0.001,0.25,"(0, 0)",0.15
s0_Adam_0.0005lr_0drp_0.001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.0,5.2288037872314455,3.1031692028045654,6474.108236312866,6178.422224283218,29.252,replace,0,Adam,10000,5,0.0005,0,0.001,0.25,"(0.25, 0.25)",0.15
s0_Adam_0.0005lr_0drp_0.001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.0,5.181121349334717,3.0069479942321777,6573.806453466415,6280.481409072876,29.656,replace,0,Adam,10000,5,0.0005,0,0.001,0.25,"(0.25, 0.25)",0.3
s0_Adam_0.0005lr_0drp_0.001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.0,5.097941122055054,3.0303666591644287,5695.329820156097,5429.226782798767,27.028,replace,0,Adam,10000,5,0.0005,0,0.001,0.25,"(0.1, 0.4)",0.15
s0_Adam_0.0005lr_0drp_0.001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.0,4.715697736740112,3.037935256958008,5588.550117492676,5337.88511800766,28.372,replace,0,Adam,10000,5,0.0005,0,0.001,0.25,"(0.1, 0.4)",0.3
