trial_name,win_ratio,validation_loss,train_loss,total_time,selfplay_time,game_len,use_slap,num_ResBlock,optimizer,buffer_size,c_puct,learn_rate,dropout,L2,explore,noise,Dirichlet
s0_Adam_0.00025lr_0drp_0.001L2_5cp_0noise0_0.15D_0expl_10000buf,0.0,3.7425260162353515,2.4837357997894287,5592.753477096558,5251.344809770584,22.532,replace,0,Adam,10000,5,0.00025,0,0.001,0,"(0, 0)",0.15
s0_Adam_0.00025lr_0drp_0.001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.03333333333333333,4.673774070739746,3.1820099353790283,5755.846554040909,5479.19057559967,25.784,replace,0,Adam,10000,5,0.00025,0,0.001,0,"(0.25, 0.25)",0.15
s0_Adam_0.00025lr_0drp_0.001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.0,4.792577466964722,3.3043041229248047,5553.089845895767,5264.268872976303,25.228,replace,0,Adam,10000,5,0.00025,0,0.001,0,"(0.25, 0.25)",0.3
s0_Adam_0.00025lr_0drp_0.001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.0,5.0309065818786625,3.220930576324463,5681.651300430298,5438.391496896744,26.132,replace,0,Adam,10000,5,0.00025,0,0.001,0,"(0.1, 0.4)",0.15
s0_Adam_0.00025lr_0drp_0.001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.19999999999999998,3.9663788223266603,3.110760450363159,4771.675872087479,4467.14364027977,21.796,replace,0,Adam,10000,5,0.00025,0,0.001,0,"(0.1, 0.4)",0.3
s0_Adam_0.00025lr_0drp_0.001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.0,4.045872774124145,2.6746201515197754,6363.490384578705,6096.810265541077,28.08,replace,0,Adam,10000,5,0.00025,0,0.001,0.25,"(0, 0)",0.15
s0_Adam_0.00025lr_0drp_0.001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.06666666666666667,4.837257680892944,3.3221218585968018,6006.692483186722,5740.680476665497,29.228,replace,0,Adam,10000,5,0.00025,0,0.001,0.25,"(0.25, 0.25)",0.15
s0_Adam_0.00025lr_0drp_0.001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.09999999999999999,4.31255578994751,3.1901121139526367,5541.468044757843,5253.363201379776,25.984,replace,0,Adam,10000,5,0.00025,0,0.001,0.25,"(0.25, 0.25)",0.3
s0_Adam_0.00025lr_0drp_0.001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.13333333333333333,5.046181993484497,3.2523012161254883,5561.491426944733,5239.690099954605,26.288,replace,0,Adam,10000,5,0.00025,0,0.001,0.25,"(0.1, 0.4)",0.15
s0_Adam_0.00025lr_0drp_0.001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.0,5.3735715675354,3.3198251724243164,5892.310609102249,5600.493814229965,27.148,replace,0,Adam,10000,5,0.00025,0,0.001,0.25,"(0.1, 0.4)",0.3
s0_Adam_0.00025lr_0drp_0.0001L2_5cp_0noise0_0.15D_0expl_10000buf,0.20000000000000004,3.6601939392089844,2.4773831367492676,5223.76026058197,4922.956957578659,22.052,replace,0,Adam,10000,5,0.00025,0,0.0001,0,"(0, 0)",0.15
s0_Adam_0.00025lr_0drp_0.0001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.0,4.7816332244873045,3.292961597442627,5403.657644271851,5101.927584648132,24.592,replace,0,Adam,10000,5,0.00025,0,0.0001,0,"(0.25, 0.25)",0.15
s0_Adam_0.00025lr_0drp_0.0001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.0,5.077290430068969,3.338200569152832,5377.085309267044,5105.791050434113,24.524,replace,0,Adam,10000,5,0.00025,0,0.0001,0,"(0.25, 0.25)",0.3
s0_Adam_0.00025lr_0drp_0.0001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.3,3.588764200210571,2.881225347518921,4615.765484571457,4338.459369182587,21.008,replace,0,Adam,10000,5,0.00025,0,0.0001,0,"(0.1, 0.4)",0.15
s0_Adam_0.00025lr_0drp_0.0001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.13333333333333333,3.5629074382781982,2.9022574424743652,4738.175618171692,4451.762961149216,21.48,replace,0,Adam,10000,5,0.00025,0,0.0001,0,"(0.1, 0.4)",0.3
s0_Adam_0.00025lr_0drp_0.0001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.16666666666666666,4.0759021663665775,2.760880470275879,6682.757886648178,6379.348018169403,27.632,replace,0,Adam,10000,5,0.00025,0,0.0001,0.25,"(0, 0)",0.15
s0_Adam_0.00025lr_0drp_0.0001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.03333333333333333,4.7355599689483645,3.07643723487854,5609.7298374176025,5321.3700313568115,25.02,replace,0,Adam,10000,5,0.00025,0,0.0001,0.25,"(0.25, 0.25)",0.15
s0_Adam_0.00025lr_0drp_0.0001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.03333333333333333,5.202970008850098,3.2071938514709473,6125.62509226799,5813.984848976135,27.9,replace,0,Adam,10000,5,0.00025,0,0.0001,0.25,"(0.25, 0.25)",0.3
s0_Adam_0.00025lr_0drp_0.0001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.13333333333333333,4.536733045578003,3.246060609817505,5360.861607789993,5058.902193307877,25.332,replace,0,Adam,10000,5,0.00025,0,0.0001,0.25,"(0.1, 0.4)",0.15
s0_Adam_0.00025lr_0drp_0.0001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.0,4.857070865631104,3.2771084308624268,5802.178726673126,5546.5908234119415,28.088,replace,0,Adam,10000,5,0.00025,0,0.0001,0.25,"(0.1, 0.4)",0.3
