trial_name,win_ratio,validation_loss,train_loss,total_time,selfplay_time,game_len,use_slap,num_ResBlock,optimizer,buffer_size,c_puct,learn_rate,dropout,L2,explore,noise,Dirichlet
s0_Adam_0.001lr_0.2drp_0.001L2_5cp_0noise0_0.15D_0expl_10000buf,0.13333333333333333,3.4182482624053954,2.4372737407684326,5566.0853390693665,5154.962240457535,21.428,replace,0,Adam,10000,5,0.001,0.2,0.001,0,"(0, 0)",0.15
s0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.03333333333333333,4.950160512924194,3.178589344024658,6047.5124089717865,5743.194553852081,26.984,replace,0,Adam,10000,5,0.001,0.2,0.001,0,"(0.25, 0.25)",0.15
s0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.06666666666666667,5.223834667205811,3.2813684940338135,5655.339429140091,5341.852510690689,25.064,replace,0,Adam,10000,5,0.001,0.2,0.001,0,"(0.25, 0.25)",0.3
s0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.0,4.9003432083129885,3.2114453315734863,5998.562510728836,5672.747840881348,26.624,replace,0,Adam,10000,5,0.001,0.2,0.001,0,"(0.1, 0.4)",0.15
s0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.0,5.286504526138305,3.2303154468536377,5970.2182784080505,5704.947177886963,26.984,replace,0,Adam,10000,5,0.001,0.2,0.001,0,"(0.1, 0.4)",0.3
s0_Adam_0.001lr_0.2drp_0.001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.0,4.369823322296143,2.7821624279022217,6624.532988786697,6303.449870347977,28.352,replace,0,Adam,10000,5,0.001,0.2,0.001,0.25,"(0, 0)",0.15
s0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.0,5.094757423400879,3.372166395187378,6449.461448907852,6162.879567146301,29.8,replace,0,Adam,10000,5,0.001,0.2,0.001,0.25,"(0.25, 0.25)",0.15
s0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.06666666666666667,5.128834400177002,3.257507562637329,6254.301847696304,5958.288023948669,28.488,replace,0,Adam,10000,5,0.001,0.2,0.001,0.25,"(0.25, 0.25)",0.3
s0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.06666666666666667,5.452399625778198,3.2444565296173096,6412.130926370621,6142.047879219055,29.42,replace,0,Adam,10000,5,0.001,0.2,0.001,0.25,"(0.1, 0.4)",0.15
s0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.0,5.213570804595947,3.3144702911376953,6582.378340005875,6260.464401245117,29.752,replace,0,Adam,10000,5,0.001,0.2,0.001,0.25,"(0.1, 0.4)",0.3
