trial_name,win_ratio,validation_loss,train_loss,total_time,selfplay_time,game_len,use_slap,num_ResBlock,optimizer,buffer_size,c_puct,learn_rate,dropout,L2,explore,noise,Dirichlet
s0_Adam_0.0005lr_0.2drp_0.001L2_5cp_0noise0_0.15D_0expl_10000buf,0.09999999999999999,3.6579107570648195,2.6936559677124023,4955.960705280304,4692.140999317169,22.84,replace,0,Adam,10000,5,0.0005,0.2,0.001,0,"(0, 0)",0.15
s0_Adam_0.0005lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.06666666666666667,4.985279865264893,3.4497573375701904,5307.8624749183655,5040.7868139743805,26.296,replace,0,Adam,10000,5,0.0005,0.2,0.001,0,"(0.25, 0.25)",0.15
s0_Adam_0.0005lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.0,4.8520626449584965,3.3687994480133057,5250.447696447372,4999.576597213745,26.412,replace,0,Adam,10000,5,0.0005,0.2,0.001,0,"(0.25, 0.25)",0.3
s0_Adam_0.0005lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.03333333333333333,4.768203849792481,3.2924394607543945,4799.450836658478,4504.620177268982,23.572,replace,0,Adam,10000,5,0.0005,0.2,0.001,0,"(0.1, 0.4)",0.15
s0_Adam_0.0005lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.06666666666666667,4.841204710006714,3.2675042152404785,5098.55856013298,4837.379155874252,25.16,replace,0,Adam,10000,5,0.0005,0.2,0.001,0,"(0.1, 0.4)",0.3
s0_Adam_0.0005lr_0.2drp_0.001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.0,4.762195463180542,3.0514729022979736,5893.582594633102,5636.231716394424,28.336,replace,0,Adam,10000,5,0.0005,0.2,0.001,0.25,"(0, 0)",0.15
s0_Adam_0.0005lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.0,4.982397041320801,3.342586040496826,5396.5204248428345,5099.209120750427,27.52,replace,0,Adam,10000,5,0.0005,0.2,0.001,0.25,"(0.25, 0.25)",0.15
s0_Adam_0.0005lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.03333333333333333,5.0833964347839355,3.386542558670044,5170.161259174347,4906.5502145290375,26.264,replace,0,Adam,10000,5,0.0005,0.2,0.001,0.25,"(0.25, 0.25)",0.3
s0_Adam_0.0005lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.0,5.2201267528533934,3.312546968460083,5574.5443341732025,5325.047270536423,28.356,replace,0,Adam,10000,5,0.0005,0.2,0.001,0.25,"(0.1, 0.4)",0.15
s0_Adam_0.0005lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.3666666666666667,4.4211161422729495,3.148375988006592,5311.829879522324,5046.462338685989,27.032,replace,0,Adam,10000,5,0.0005,0.2,0.001,0.25,"(0.1, 0.4)",0.3
