trial_name,win_ratio,validation_loss,train_loss,total_time,selfplay_time,game_len,use_slap,num_ResBlock,optimizer,buffer_size,c_puct,learn_rate,dropout,L2,explore,noise,Dirichlet
s0_Adam_0.00025lr_0.2drp_0.001L2_5cp_0noise0_0.15D_0expl_10000buf,0.3,3.347809953689575,2.7749314308166504,5318.163130521774,5038.6383357048035,24.328,replace,0,Adam,10000,5,0.00025,0.2,0.001,0,"(0, 0)",0.15
s0_Adam_0.00025lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.16666666666666666,5.156252660751343,3.521693706512451,5299.275194883347,5003.034842014313,26.488,replace,0,Adam,10000,5,0.00025,0.2,0.001,0,"(0.25, 0.25)",0.15
s0_Adam_0.00025lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.06666666666666667,4.483574314117432,3.463218927383423,5173.709993124008,4899.538208961487,25.584,replace,0,Adam,10000,5,0.00025,0.2,0.001,0,"(0.25, 0.25)",0.3
s0_Adam_0.00025lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.13333333333333333,4.562710657119751,3.391846179962158,4665.7182648181915,4330.070853710175,22.572,replace,0,Adam,10000,5,0.00025,0.2,0.001,0,"(0.1, 0.4)",0.15
s0_Adam_0.00025lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.13333333333333333,4.16715178489685,3.3465583324432373,5101.813487291336,4795.338916301727,24.984,replace,0,Adam,10000,5,0.00025,0.2,0.001,0,"(0.1, 0.4)",0.3
s0_Adam_0.00025lr_0.2drp_0.001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.06666666666666667,3.8773719596862795,3.154181957244873,5734.026394128799,5393.946967124939,26.976,replace,0,Adam,10000,5,0.00025,0.2,0.001,0.25,"(0, 0)",0.15
s0_Adam_0.00025lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.03333333333333333,4.902107610702514,3.6594836711883545,5625.500037431717,5374.808891534805,28.968,replace,0,Adam,10000,5,0.00025,0.2,0.001,0.25,"(0.25, 0.25)",0.15
s0_Adam_0.00025lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.09999999999999999,5.001362285614014,3.3524208068847656,5426.524062871933,5164.174486875534,27.396,replace,0,Adam,10000,5,0.00025,0.2,0.001,0.25,"(0.25, 0.25)",0.3
s0_Adam_0.00025lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.06666666666666667,5.185681381225586,3.6335532665252686,5577.253299951553,5271.980227947235,28.16,replace,0,Adam,10000,5,0.00025,0.2,0.001,0.25,"(0.1, 0.4)",0.15
s0_Adam_0.00025lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.0,5.114189329147339,3.5546154975891113,5473.536784410477,5196.7140328884125,28.008,replace,0,Adam,10000,5,0.00025,0.2,0.001,0.25,"(0.1, 0.4)",0.3
