trial_name,win_ratio,validation_loss,train_loss,total_time,selfplay_time,game_len,use_slap,num_ResBlock,optimizer,buffer_size,c_puct,learn_rate,dropout,L2,explore,noise,Dirichlet
n0_Adam_0.001lr_0drp_0.001L2_5cp_0noise0_0.15D_0expl_10000buf,0.2333333333333333,3.347271680831909,3.045508861541748,4302.677986621857,4027.106502532959,22.28,False,0,Adam,10000,5,0.001,0,0.001,0,"(0, 0)",0.15
n0_Adam_0.001lr_0drp_0.001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.2333333333333333,4.1488408279418945,3.593122720718384,4173.625573635101,3912.785744905472,23.704,False,0,Adam,10000,5,0.001,0,0.001,0,"(0.25, 0.25)",0.15
n0_Adam_0.001lr_0drp_0.001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.3,4.078550224304199,3.421947717666626,4214.204161405563,3875.409602165222,22.836,False,0,Adam,10000,5,0.001,0,0.001,0,"(0.25, 0.25)",0.3
n0_Adam_0.001lr_0drp_0.001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.06666666666666667,4.881101179122925,3.4393718242645264,4374.407787322998,4101.95781826973,24.756,False,0,Adam,10000,5,0.001,0,0.001,0,"(0.1, 0.4)",0.15
n0_Adam_0.001lr_0drp_0.001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.3,4.276553421020508,3.4802145957946777,4214.491043329239,3922.8181087970734,23.064,False,0,Adam,10000,5,0.001,0,0.001,0,"(0.1, 0.4)",0.3
n0_Adam_0.001lr_0drp_0.001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.5000000000000001,4.43574426651001,3.0863606929779053,4595.043214559555,4294.583481311798,24.076,False,0,Adam,10000,5,0.001,0,0.001,0.25,"(0, 0)",0.15
n0_Adam_0.001lr_0drp_0.001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.43333333333333335,4.015224256515503,3.3982269763946533,4391.429303884506,4097.349563360214,24.896,False,0,Adam,10000,5,0.001,0,0.001,0.25,"(0.25, 0.25)",0.15
n0_Adam_0.001lr_0drp_0.001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.16666666666666666,4.2822502326965335,3.354609727859497,4354.42270565033,4067.7929553985596,24.616,False,0,Adam,10000,5,0.001,0,0.001,0.25,"(0.25, 0.25)",0.3
n0_Adam_0.001lr_0drp_0.001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.03333333333333333,4.674298410415649,3.4671504497528076,5033.90199971199,4775.300192832947,27.248,False,0,Adam,10000,5,0.001,0,0.001,0.25,"(0.1, 0.4)",0.15
n0_Adam_0.001lr_0drp_0.001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.5666666666666668,3.3802697801589967,3.175041675567627,3873.210985183716,3570.020098209381,21.576,False,0,Adam,10000,5,0.001,0,0.001,0.25,"(0.1, 0.4)",0.3
n0_Adam_0.001lr_0drp_0.0001L2_5cp_0noise0_0.15D_0expl_10000buf,0.23333333333333336,3.6050208139419557,2.807856798171997,4138.6215052604675,3832.9806072711945,21.016,False,0,Adam,10000,5,0.001,0,0.0001,0,"(0, 0)",0.15
n0_Adam_0.001lr_0drp_0.0001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.16666666666666666,5.0037273502349855,3.710000991821289,5776.73829293251,5389.068892002106,25.748,False,0,Adam,10000,5,0.001,0,0.0001,0,"(0.25, 0.25)",0.15
n0_Adam_0.001lr_0drp_0.0001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.36666666666666664,4.469944105148316,3.5062084197998047,5396.90930223465,5133.045251369476,23.628,False,0,Adam,10000,5,0.001,0,0.0001,0,"(0.25, 0.25)",0.3
n0_Adam_0.001lr_0drp_0.0001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.5333333333333333,2.631530704498291,3.0307998657226562,3200.9157252311707,2961.1980240345,17.66,False,0,Adam,10000,5,0.001,0,0.0001,0,"(0.1, 0.4)",0.15
n0_Adam_0.001lr_0drp_0.0001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.0,5.118062467575073,3.6389760971069336,5002.031855106354,4742.87587928772,26.204,False,0,Adam,10000,5,0.001,0,0.0001,0,"(0.1, 0.4)",0.3
n0_Adam_0.001lr_0drp_0.0001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.5,3.326716046333313,2.8569796085357666,5166.440705299377,4871.15128326416,22.132,False,0,Adam,10000,5,0.001,0,0.0001,0.25,"(0, 0)",0.15
n0_Adam_0.001lr_0drp_0.0001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.26666666666666666,4.889563293457031,3.4221696853637695,6468.683269500732,6056.705069303513,24.936,False,0,Adam,10000,5,0.001,0,0.0001,0.25,"(0.25, 0.25)",0.15
n0_Adam_0.001lr_0drp_0.0001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.26666666666666666,4.317597932815552,3.2812530994415283,4244.906982660294,3952.1689925193787,23.324,False,0,Adam,10000,5,0.001,0,0.0001,0.25,"(0.25, 0.25)",0.3
n0_Adam_0.001lr_0drp_0.0001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.26666666666666666,3.998269338607788,3.3340671062469482,4701.4064683914185,4441.97918510437,26.716,False,0,Adam,10000,5,0.001,0,0.0001,0.25,"(0.1, 0.4)",0.15
n0_Adam_0.001lr_0drp_0.0001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.09999999999999999,4.301725826263428,3.4415366649627686,4513.631957769394,4224.77921462059,26.036,False,0,Adam,10000,5,0.001,0,0.0001,0.25,"(0.1, 0.4)",0.3
