trial_name,win_ratio,validation_loss,train_loss,total_time,selfplay_time,game_len,use_slap,num_ResBlock,optimizer,buffer_size,c_puct,learn_rate,dropout,L2,explore,noise,Dirichlet
n0_Adam_0.002lr_0drp_0.001L2_5cp_0noise0_0.15D_0expl_10000buf,0.3666666666666667,3.099364647865295,2.6856095790863037,3723.2227380275726,3435.0873050689697,18.752,False,0,Adam,10000,5,0.002,0,0.001,0,"(0, 0)",0.15
n0_Adam_0.002lr_0drp_0.001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.10000000000000002,4.681401519775391,3.546395778656006,4868.3340792655945,4513.047201395035,26.852,False,0,Adam,10000,5,0.002,0,0.001,0,"(0.25, 0.25)",0.15
n0_Adam_0.002lr_0drp_0.001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.6,3.469873275756836,3.2164745330810547,3617.975729227066,3350.4687407016754,20.192,False,0,Adam,10000,5,0.002,0,0.001,0,"(0.25, 0.25)",0.3
n0_Adam_0.002lr_0drp_0.001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.39999999999999997,3.0080100297927856,2.8586032390594482,3312.8615217208862,3000.9656438827515,17.736,False,0,Adam,10000,5,0.002,0,0.001,0,"(0.1, 0.4)",0.15
n0_Adam_0.002lr_0drp_0.001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.09999999999999999,4.762104930877686,3.529592990875244,4815.156594276428,4516.724095582962,24.8,False,0,Adam,10000,5,0.002,0,0.001,0,"(0.1, 0.4)",0.3
n0_Adam_0.002lr_0drp_0.001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.26666666666666666,3.6028501415252685,2.7510037422180176,3934.8191936016083,3640.0693304538727,20.588,False,0,Adam,10000,5,0.002,0,0.001,0.25,"(0, 0)",0.15
n0_Adam_0.002lr_0drp_0.001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.0,5.175207223892212,3.589055061340332,5333.871430397034,5026.24640583992,27.584,False,0,Adam,10000,5,0.002,0,0.001,0.25,"(0.25, 0.25)",0.15
n0_Adam_0.002lr_0drp_0.001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.16666666666666666,4.8821376705169675,3.4061062335968018,4740.5851175785065,4411.658779859543,27.116,False,0,Adam,10000,5,0.002,0,0.001,0.25,"(0.25, 0.25)",0.3
n0_Adam_0.002lr_0drp_0.001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.13333333333333333,3.9113831996917723,3.3545644283294678,4623.072457551956,4361.305953741074,24.856,False,0,Adam,10000,5,0.002,0,0.001,0.25,"(0.1, 0.4)",0.15
n0_Adam_0.002lr_0drp_0.001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.13333333333333333,4.44028639793396,3.464853286743164,4711.119525671005,4422.496371984482,25.576,False,0,Adam,10000,5,0.002,0,0.001,0.25,"(0.1, 0.4)",0.3
n0_Adam_0.002lr_0drp_0.0001L2_5cp_0noise0_0.15D_0expl_10000buf,0.3,1.754483470916748,2.2941088676452637,2658.3978493213654,2375.9177832603455,13.984,False,0,Adam,10000,5,0.002,0,0.0001,0,"(0, 0)",0.15
n0_Adam_0.002lr_0drp_0.0001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.26666666666666666,3.3906871366500853,4.578085422515869,4793.820699453354,4415.01802444458,26.824,False,0,Adam,10000,5,0.002,0,0.0001,0,"(0.25, 0.25)",0.15
n0_Adam_0.002lr_0drp_0.0001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.16666666666666666,4.194772872924805,3.121706962585449,4044.8749356269836,3706.8846538066864,21.132,False,0,Adam,10000,5,0.002,0,0.0001,0,"(0.25, 0.25)",0.3
n0_Adam_0.002lr_0drp_0.0001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.03333333333333333,4.5491411495208744,3.339813232421875,4515.077873706818,4205.088621377945,23.888,False,0,Adam,10000,5,0.002,0,0.0001,0,"(0.1, 0.4)",0.15
n0_Adam_0.002lr_0drp_0.0001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.2333333333333333,4.590957860946656,3.568913459777832,4363.074688673019,4085.522749900818,22.464,False,0,Adam,10000,5,0.002,0,0.0001,0,"(0.1, 0.4)",0.3
n0_Adam_0.002lr_0drp_0.0001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.26666666666666666,3.9555749988555906,2.746701717376709,4916.2481434345245,4544.904821157455,23.68,False,0,Adam,10000,5,0.002,0,0.0001,0.25,"(0, 0)",0.15
n0_Adam_0.002lr_0drp_0.0001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.13333333333333333,4.9839118957519535,3.541818141937256,5031.220160245895,4666.407557964325,27.36,False,0,Adam,10000,5,0.002,0,0.0001,0.25,"(0.25, 0.25)",0.15
n0_Adam_0.002lr_0drp_0.0001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.43333333333333335,4.483279790878296,3.1959068775177,4144.613481283188,3812.237101793289,22.148,False,0,Adam,10000,5,0.002,0,0.0001,0.25,"(0.25, 0.25)",0.3
n0_Adam_0.002lr_0drp_0.0001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.5,4.770584392547607,3.506253480911255,4903.26390171051,4583.921810626984,26.684,False,0,Adam,10000,5,0.002,0,0.0001,0.25,"(0.1, 0.4)",0.15
