trial_name,win_ratio,validation_loss,train_loss,total_time,selfplay_time,game_len,use_slap,num_ResBlock,optimizer,buffer_size,c_puct,learn_rate,dropout,L2,explore,noise,Dirichlet
n0_Adam_0.004lr_0drp_0.001L2_5cp_0noise0_0.15D_0expl_10000buf,0.2333333333333333,4.501849789619445,3.228121757507324,4707.282596826553,4421.797907114029,23.324,False,0,Adam,10000,5,0.004,0,0.001,0,"(0, 0)",0.15
n0_Adam_0.004lr_0drp_0.001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.06666666666666667,4.659161996841431,3.5416817665100098,4684.702776432037,4403.691744089127,24.656,False,0,Adam,10000,5,0.004,0,0.001,0,"(0.25, 0.25)",0.15
n0_Adam_0.004lr_0drp_0.001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.19999999999999998,4.144337549209594,3.3813729286193848,4378.459366321564,4090.671389102936,22.808,False,0,Adam,10000,5,0.004,0,0.001,0,"(0.25, 0.25)",0.3
n0_Adam_0.004lr_0drp_0.001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.43333333333333335,4.307816953659057,3.2653439044952393,4175.377456188202,3894.2056386470795,21.492,False,0,Adam,10000,5,0.004,0,0.001,0,"(0.1, 0.4)",0.15
n0_Adam_0.004lr_0drp_0.001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.5,3.831168394088745,3.199425220489502,4267.675203323364,3931.0094335079193,21.784,False,0,Adam,10000,5,0.004,0,0.001,0,"(0.1, 0.4)",0.3
n0_Adam_0.004lr_0drp_0.001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.3666666666666667,2.6738512921333313,2.6300859451293945,4337.5844559669495,4055.118585586548,21.376,False,0,Adam,10000,5,0.004,0,0.001,0.25,"(0, 0)",0.15
n0_Adam_0.004lr_0drp_0.001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.16666666666666666,4.472203168869019,3.2191572189331055,4541.328761577606,4245.185333490372,24.004,False,0,Adam,10000,5,0.004,0,0.001,0.25,"(0.25, 0.25)",0.15
n0_Adam_0.004lr_0drp_0.001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.09999999999999999,5.101682567596436,3.7256460189819336,5100.4375693798065,4793.84797167778,27.42,False,0,Adam,10000,5,0.004,0,0.001,0.25,"(0.25, 0.25)",0.3
n0_Adam_0.004lr_0drp_0.001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.13333333333333333,4.819449710845947,3.4030280113220215,5175.300151109695,4872.254344701767,27.6,False,0,Adam,10000,5,0.004,0,0.001,0.25,"(0.1, 0.4)",0.15
n0_Adam_0.004lr_0drp_0.001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.10000000000000002,5.088925457000732,3.8577284812927246,5109.003994464874,4827.872517585754,27.98,False,0,Adam,10000,5,0.004,0,0.001,0.25,"(0.1, 0.4)",0.3
