trial_name,win_ratio,validation_loss,train_loss,total_time,selfplay_time,game_len,use_slap,num_ResBlock,optimizer,buffer_size,c_puct,learn_rate,dropout,L2,explore,noise,Dirichlet
n0_Adam_0.001lr_0.2drp_0.001L2_5cp_0noise0_0.15D_0expl_10000buf,0.3333333333333333,3.4906414794921874,2.8889598846435547,4389.98103427887,4093.315922021866,21.332,False,0,Adam,10000,5,0.001,0.2,0.001,0,"(0, 0)",0.15
n0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.0,4.809879093170166,4.056527614593506,4651.696212053299,4349.343173265457,24.22,False,0,Adam,10000,5,0.001,0.2,0.001,0,"(0.25, 0.25)",0.15
n0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.03333333333333333,4.771558628082276,3.663196563720703,4811.399480581284,4545.441333532333,25.372,False,0,Adam,10000,5,0.001,0.2,0.001,0,"(0.25, 0.25)",0.3
n0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.4666666666666666,4.334701948165893,3.7989258766174316,4721.696985244751,4430.323849916458,24.204,False,0,Adam,10000,5,0.001,0.2,0.001,0,"(0.1, 0.4)",0.15
n0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.2333333333333333,4.145014228820801,3.6768579483032227,4550.758560657501,4233.673276901245,23.24,False,0,Adam,10000,5,0.001,0.2,0.001,0,"(0.1, 0.4)",0.3
n0_Adam_0.001lr_0.2drp_0.001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.06666666666666667,4.483057136535645,3.35510516166687,5102.688455104828,4800.832314491272,24.468,False,0,Adam,10000,5,0.001,0.2,0.001,0.25,"(0, 0)",0.15
n0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.16666666666666666,4.879142713546753,3.733121633529663,5113.426423549652,4843.1203789711,26.164,False,0,Adam,10000,5,0.001,0.2,0.001,0.25,"(0.25, 0.25)",0.15
n0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.03333333333333333,5.1361293029785156,3.757949113845825,4811.367340326309,4486.11440205574,25.408,False,0,Adam,10000,5,0.001,0.2,0.001,0.25,"(0.25, 0.25)",0.3
n0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.5000000000000001,3.7708805656433104,3.7366690635681152,4313.637226819992,4032.4070253372192,23.288,False,0,Adam,10000,5,0.001,0.2,0.001,0.25,"(0.1, 0.4)",0.15
n0_Adam_0.001lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.16666666666666666,5.180034961700439,3.9142372608184814,5120.8663856983185,4813.575904846191,27.068,False,0,Adam,10000,5,0.001,0.2,0.001,0.25,"(0.1, 0.4)",0.3
n0_Adam_0.001lr_0.2drp_0.0001L2_5cp_0noise0_0.15D_0expl_10000buf,0.19999999999999998,4.029774761199951,3.470621109008789,4416.379420042038,4137.150687217712,21.364,False,0,Adam,10000,5,0.001,0.2,0.0001,0,"(0, 0)",0.15
n0_Adam_0.001lr_0.2drp_0.0001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.26666666666666666,4.3002414131164555,3.7115092277526855,4589.304866313934,4312.826736688614,23.96,False,0,Adam,10000,5,0.001,0.2,0.0001,0,"(0.25, 0.25)",0.15
n0_Adam_0.001lr_0.2drp_0.0001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.3,3.9714004707336428,3.593423843383789,4574.074645280838,4316.705162525177,23.432,False,0,Adam,10000,5,0.001,0.2,0.0001,0,"(0.25, 0.25)",0.3
n0_Adam_0.001lr_0.2drp_0.0001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.3333333333333333,3.8131954956054686,3.2021560668945312,4207.928912162781,3916.209826231003,21.208,False,0,Adam,10000,5,0.001,0.2,0.0001,0,"(0.1, 0.4)",0.15
n0_Adam_0.001lr_0.2drp_0.0001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.0,4.901791915893555,3.986497163772583,4868.5046582221985,4593.86802649498,25.676,False,0,Adam,10000,5,0.001,0.2,0.0001,0,"(0.1, 0.4)",0.3
n0_Adam_0.001lr_0.2drp_0.0001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.4666666666666666,4.059652328491211,2.851194381713867,4363.88211274147,4020.807147026062,20.332,False,0,Adam,10000,5,0.001,0.2,0.0001,0.25,"(0, 0)",0.15
n0_Adam_0.001lr_0.2drp_0.0001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.09999999999999999,4.904187002182007,3.712125778198242,5226.211601257324,4909.725742340088,27.816,False,0,Adam,10000,5,0.001,0.2,0.0001,0.25,"(0.25, 0.25)",0.15
n0_Adam_0.001lr_0.2drp_0.0001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.06666666666666667,4.875093955993652,3.773707866668701,5231.630136728287,4937.580684661865,27.956,False,0,Adam,10000,5,0.001,0.2,0.0001,0.25,"(0.25, 0.25)",0.3
n0_Adam_0.001lr_0.2drp_0.0001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.13333333333333333,4.313333024978638,3.4682137966156006,4960.193255901337,4682.151027202606,25.476,False,0,Adam,10000,5,0.001,0.2,0.0001,0.25,"(0.1, 0.4)",0.15
n0_Adam_0.001lr_0.2drp_0.0001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.0,4.45626277923584,3.625901937484741,5091.077657699585,4770.670825719833,27.368,False,0,Adam,10000,5,0.001,0.2,0.0001,0.25,"(0.1, 0.4)",0.3
