trial_name,win_ratio,validation_loss,train_loss,total_time,selfplay_time,game_len,use_slap,num_ResBlock,optimizer,buffer_size,c_puct,learn_rate,dropout,L2,explore,noise,Dirichlet
n0_Adam_0.002lr_0.2drp_0.001L2_5cp_0noise0_0.15D_0expl_10000buf,0.19999999999999998,3.0171881675720216,3.225628614425659,4680.284513473511,4424.210757017136,24.304,False,0,Adam,10000,5,0.002,0.2,0.001,0,"(0, 0)",0.15
n0_Adam_0.002lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.3666666666666667,4.576542797088623,3.8907389640808105,4731.946523666382,4453.424145460129,26.58,False,0,Adam,10000,5,0.002,0.2,0.001,0,"(0.25, 0.25)",0.15
n0_Adam_0.002lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.3,4.594507455825806,3.618823766708374,4532.552402019501,4267.105035543442,24.7,False,0,Adam,10000,5,0.002,0.2,0.001,0,"(0.25, 0.25)",0.3
n0_Adam_0.002lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.4000000000000001,3.175112204551697,3.4866836071014404,3939.098291158676,3565.291303873062,20.888,False,0,Adam,10000,5,0.002,0.2,0.001,0,"(0.1, 0.4)",0.15
n0_Adam_0.002lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.26666666666666666,4.878682451248169,3.825866222381592,4776.694360733032,4499.758766651154,26.164,False,0,Adam,10000,5,0.002,0.2,0.001,0,"(0.1, 0.4)",0.3
n0_Adam_0.002lr_0.2drp_0.001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.3,3.4950138568878173,3.077146291732788,4567.648780584335,4256.22602057457,23.056,False,0,Adam,10000,5,0.002,0.2,0.001,0.25,"(0, 0)",0.15
n0_Adam_0.002lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.06666666666666667,4.881568450927734,3.889266014099121,5170.758630037308,4892.493954658508,28.64,False,0,Adam,10000,5,0.002,0.2,0.001,0.25,"(0.25, 0.25)",0.15
n0_Adam_0.002lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.0,5.173487052917481,3.687138080596924,4657.236824512482,4379.450222015381,25.372,False,0,Adam,10000,5,0.002,0.2,0.001,0.25,"(0.25, 0.25)",0.3
n0_Adam_0.002lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.09999999999999999,4.663531427383423,3.646602153778076,4861.106252908707,4544.324335098267,26.56,False,0,Adam,10000,5,0.002,0.2,0.001,0.25,"(0.1, 0.4)",0.15
n0_Adam_0.002lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.10000000000000002,4.8460275840759275,3.6961541175842285,4696.45002746582,4421.818033695221,25.912,False,0,Adam,10000,5,0.002,0.2,0.001,0.25,"(0.1, 0.4)",0.3
n0_Adam_0.002lr_0.2drp_0.0001L2_5cp_0noise0_0.15D_0expl_10000buf,0.3666666666666667,3.71318021774292,3.0415399074554443,4835.97916841507,4483.032606601715,22.568,False,0,Adam,10000,5,0.002,0.2,0.0001,0,"(0, 0)",0.15
n0_Adam_0.002lr_0.2drp_0.0001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.19999999999999998,4.132880926132202,3.6294503211975098,5600.927268266678,5295.199125766754,26.3,False,0,Adam,10000,5,0.002,0.2,0.0001,0,"(0.25, 0.25)",0.15
n0_Adam_0.002lr_0.2drp_0.0001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.3,4.846317043304444,3.7770509719848633,5154.604684591293,4822.528892993927,25.876,False,0,Adam,10000,5,0.002,0.2,0.0001,0,"(0.25, 0.25)",0.3
n0_Adam_0.002lr_0.2drp_0.0001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.5333333333333333,4.046331233978272,3.4340524673461914,4383.576910972595,4041.515897989273,21.724,False,0,Adam,10000,5,0.002,0.2,0.0001,0,"(0.1, 0.4)",0.15
n0_Adam_0.002lr_0.2drp_0.0001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.0,5.073195838928223,3.7000839710235596,5383.2884159088135,5046.286924362183,25.032,False,0,Adam,10000,5,0.002,0.2,0.0001,0,"(0.1, 0.4)",0.3
n0_Adam_0.002lr_0.2drp_0.0001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.4000000000000001,3.97310866355896,3.016286611557007,5123.833554029465,4829.829871892929,23.932,False,0,Adam,10000,5,0.002,0.2,0.0001,0.25,"(0, 0)",0.15
n0_Adam_0.002lr_0.2drp_0.0001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.26666666666666666,4.331271409988403,3.717198371887207,5263.848065376282,4928.442085504532,27.228,False,0,Adam,10000,5,0.002,0.2,0.0001,0.25,"(0.25, 0.25)",0.15
n0_Adam_0.002lr_0.2drp_0.0001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.3333333333333333,4.510061931610108,3.468362808227539,4494.293979883194,4207.8241751194,24.96,False,0,Adam,10000,5,0.002,0.2,0.0001,0.25,"(0.25, 0.25)",0.3
n0_Adam_0.002lr_0.2drp_0.0001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.3666666666666667,4.9923927783966064,3.7725980281829834,4832.8162961006165,4600.360723733902,26.74,False,0,Adam,10000,5,0.002,0.2,0.0001,0.25,"(0.1, 0.4)",0.15
n0_Adam_0.002lr_0.2drp_0.0001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.3666666666666667,3.8673098421096803,3.575636863708496,4596.609583616257,4312.024435997009,26.072,False,0,Adam,10000,5,0.002,0.2,0.0001,0.25,"(0.1, 0.4)",0.3
