trial_name,win_ratio,validation_loss,train_loss,total_time,selfplay_time,game_len,use_slap,num_ResBlock,optimizer,buffer_size,c_puct,learn_rate,dropout,L2,explore,noise,Dirichlet
n0_Adam_0.004lr_0.2drp_0.001L2_5cp_0noise0_0.15D_0expl_10000buf,0.3333333333333333,3.788779282569885,2.9339747428894043,4604.317999601364,4245.777323007584,21.268,False,0,Adam,10000,5,0.004,0.2,0.001,0,"(0, 0)",0.15
n0_Adam_0.004lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.15D_0expl_10000buf,0.06666666666666667,5.197462587356568,4.024117946624756,5077.216335535049,4794.428642034531,27.052,False,0,Adam,10000,5,0.004,0.2,0.001,0,"(0.25, 0.25)",0.15
n0_Adam_0.004lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.3D_0expl_10000buf,0.3333333333333333,3.900420083999634,3.582288980484009,4086.0152661800385,3811.3296604156494,21.276,False,0,Adam,10000,5,0.004,0.2,0.001,0,"(0.25, 0.25)",0.3
n0_Adam_0.004lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.15D_0expl_10000buf,0.3,4.073417100906372,3.474485158920288,4446.549745321274,4081.175782442093,22.152,False,0,Adam,10000,5,0.004,0.2,0.001,0,"(0.1, 0.4)",0.15
n0_Adam_0.004lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.3D_0expl_10000buf,0.06666666666666667,4.645243330001831,3.8493738174438477,4827.555714607239,4548.440103769302,25.888,False,0,Adam,10000,5,0.004,0.2,0.001,0,"(0.1, 0.4)",0.3
n0_Adam_0.004lr_0.2drp_0.001L2_5cp_0noise0_0.15D_0.25expl_10000buf,0.26666666666666666,4.0845215702056885,3.310950994491577,4811.625443220139,4529.524193763733,24.332,False,0,Adam,10000,5,0.004,0.2,0.001,0.25,"(0, 0)",0.15
n0_Adam_0.004lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.15D_0.25expl_10000buf,0.03333333333333333,5.009772462844849,3.916416645050049,5018.593423843384,4739.078963518143,26.792,False,0,Adam,10000,5,0.004,0.2,0.001,0.25,"(0.25, 0.25)",0.15
n0_Adam_0.004lr_0.2drp_0.001L2_5cp_0.25noise0.25_0.3D_0.25expl_10000buf,0.03333333333333333,5.022804889678955,3.84995698928833,5068.096830129623,4756.5097670555115,27.892,False,0,Adam,10000,5,0.004,0.2,0.001,0.25,"(0.25, 0.25)",0.3
n0_Adam_0.004lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.15D_0.25expl_10000buf,0.06666666666666667,4.877327547073365,3.998910427093506,5124.434910774231,4835.06348657608,27.676,False,0,Adam,10000,5,0.004,0.2,0.001,0.25,"(0.1, 0.4)",0.15
n0_Adam_0.004lr_0.2drp_0.001L2_5cp_0.1noise0.4_0.3D_0.25expl_10000buf,0.3333333333333333,4.680807781219483,3.7580108642578125,4924.181334972382,4682.618045806885,26.716,False,0,Adam,10000,5,0.004,0.2,0.001,0.25,"(0.1, 0.4)",0.3
