model,loss,entropy,value_loss,policy_loss,tr_loss,tr_entropy,tr_value_loss,tr_policy_loss,kl,lr_multiplier,explained_var_old,explained_var_new,use_slap,Num_ResBlock,lr,SGD,dropout,L2,extra_act_fc
s0_0.1lr_SGD0dropout_0.0001L2,3.0834384,"tensor(2.8757, device='cuda:0')","tensor(0.2129, device='cuda:0')","tensor(2.8705, device='cuda:0')",2.980585098,2.7867136,0.223366261,2.757218838,0.001376719,1,4.49E-08,7.52E-08,TRUE,0,0.1,TRUE,0,0.0001,FALSE
s0_0.1lr_SGD0.1dropout_0.0001L2,4.327346,"tensor(4.1052, device='cuda:0')","tensor(0.2129, device='cuda:0')","tensor(4.1144, device='cuda:0')",4.317132473,4.105169296,0.222546935,4.094585419,2.20E-07,1,2.75E-05,-1.66E-05,TRUE,0,0.1,TRUE,0.1,0.0001,FALSE
s0_0.1lr_SGD0.2dropout_0.0001L2,4.329688,"tensor(4.1057, device='cuda:0')","tensor(0.2160, device='cuda:0')","tensor(4.1137, device='cuda:0')",4.321269989,4.105745792,0.230845645,4.090424538,5.25E-07,1,-5.14E-05,-2.70E-05,TRUE,0,0.1,TRUE,0.2,0.0001,FALSE
s0_0.1lr_SGD0.3dropout_0.0001L2,2.9100704,"tensor(2.9019, device='cuda:0')","tensor(0.0016, device='cuda:0')","tensor(2.9085, device='cuda:0')",2.862380981,2.880154133,0.005019382,2.857361555,0.05385724,1,0.983440293,0.974708312,TRUE,0,0.1,TRUE,0.3,0.0001,FALSE
s0_0.1lr_SGD0.4dropout_0.0001L2,4.3260536,"tensor(4.1068, device='cuda:0')","tensor(0.2130, device='cuda:0')","tensor(4.1131, device='cuda:0')",4.323023796,4.106789589,0.211862534,4.111161232,5.04E-07,1,0.000103086,3.77E-05,TRUE,0,0.1,TRUE,0.4,0.0001,FALSE
s0_0.1lr_Adam0dropout_0.0001L2,4.335611,"tensor(4.0974, device='cuda:0')","tensor(0.2142, device='cuda:0')","tensor(4.1214, device='cuda:0')",4.340647697,4.097576141,0.218394294,4.122253418,0.000194539,1,0,0,TRUE,0,0.1,FALSE,0,0.0001,FALSE
s0_0.1lr_Adam0.1dropout_0.0001L2,4.3265705,"tensor(4.1087, device='cuda:0')","tensor(0.2131, device='cuda:0')","tensor(4.1135, device='cuda:0')",4.324748993,4.108760834,0.215619445,4.109129429,0.00016003,1,0,0,TRUE,0,0.1,FALSE,0.1,0.0001,FALSE
s0_0.1lr_Adam0.2dropout_0.0001L2,4.330031,"tensor(4.1090, device='cuda:0')","tensor(0.2129, device='cuda:0')","tensor(4.1171, device='cuda:0')",4.33994627,4.107974529,0.218184799,4.121761322,0.000138546,1,0,0,TRUE,0,0.1,FALSE,0.2,0.0001,FALSE
s0_0.1lr_Adam0.3dropout_0.0001L2,4.329386,"tensor(4.1061, device='cuda:0')","tensor(0.2137, device='cuda:0')","tensor(4.1157, device='cuda:0')",4.341310501,4.104765415,0.213578373,4.127732277,0.000132209,1,0,0,TRUE,0,0.1,FALSE,0.3,0.0001,FALSE
s0_0.1lr_Adam0.4dropout_0.0001L2,4.3290057,"tensor(4.1043, device='cuda:0')","tensor(0.2130, device='cuda:0')","tensor(4.1160, device='cuda:0')",4.322582722,4.105321884,0.231043175,4.091539383,0.000185504,1,0,0,TRUE,0,0.1,FALSE,0.4,0.0001,FALSE
