model,loss,entropy,value_loss,policy_loss,use_slap,Num_ResBlock,lr,optimizer,dropout,L2,extra_act_fc,batch_size,train_loss,train_entropy,train_value_loss,train_policy_loss,kl,lr_multiplier,explained_var_old,explained_var_new
s0_size10064_originalsize10064,4.331763744,4.103209972,0.221643969,4.11011982,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,4.3282938,4.113360405,0.212999582,4.115294456,0.000786424,1,0.008768943,0.008472004
s0_size10064_originalsize10064,4.321655273,4.110421658,0.215508237,4.106146812,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,4.326408386,4.109725952,0.216081262,4.110327244,3.66E-05,1,0.02749545,0.031585633
s0_size10064_originalsize10064,4.290864468,4.100729942,0.195292354,4.095571995,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,4.288403988,4.102513313,0.203603297,4.08480072,6.39E-05,1,0.102711808,0.119571777
s0_size10064_originalsize10064,4.184372425,4.084323883,0.13829799,4.04607439,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,4.233739376,4.087992668,0.144454032,4.089285374,0.000158554,1,0.311770135,0.335432432
s0_size10064_originalsize10064,4.008755207,3.985021114,0.098784111,3.909970999,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,4.025866032,4.031045437,0.099420488,3.926445723,0.005785981,1,0.556603945,0.566972166
s0_size10064_originalsize10064,3.814946651,3.786634207,0.076558664,3.738388062,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,3.827213049,3.879796505,0.080439284,3.74677372,0.019659204,1,0.651351376,0.630629834
s0_size10064_originalsize10064,3.657532692,3.640641689,0.05781398,3.599718809,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,3.634262323,3.736193657,0.07992103,3.554341316,0.02063055,1,0.690164407,0.724184324
s0_size10064_originalsize10064,3.51035738,3.584272146,0.051754612,3.458602667,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,3.412151814,3.453482628,0.054459929,3.357691765,0.002750438,1,0.767401757,0.767196295
s0_size10064_originalsize10064,3.364270687,3.451284647,0.04217926,3.322091341,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,3.424308062,3.356086731,0.051601298,3.372706652,0.005485888,1,0.77052201,0.791156025
s0_size10064_originalsize10064,3.255764008,3.229396582,0.040828891,3.214935064,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,3.331586123,3.161678791,0.05753421,3.274051905,0.005868526,1,0.764248305,0.798876799
s0_size10064_originalsize10064,3.16007328,3.2156775,0.032387089,3.127686262,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,3.179996729,3.302684784,0.044397485,3.135599136,0.013858244,1,0.806341185,0.810684528
