model,loss,entropy,value_loss,policy_loss,use_slap,Num_ResBlock,lr,optimizer,dropout,L2,extra_act_fc,batch_size,special,train_loss,train_entropy,train_value_loss,train_policy_loss,kl,lr_multiplier,explained_var_old,explained_var_new
0.001L2_Slap,4.345593929,4.104686737,0.221998438,4.123595715,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.354542732,4.124491215,0.237251937,4.117290974,0.002597066,1,0.003001348,0.003355747
0.001L2_Slap,4.33001709,4.084943771,0.212735787,4.117281437,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.327050686,4.095761776,0.219028115,4.10802269,0.000535098,1,0.005179309,0.005878381
0.001L2_Slap,4.321948051,4.113146305,0.209438503,4.112509727,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.328706741,4.12069416,0.224357411,4.104349136,0.000357992,1,0.011273218,0.012590904
0.001L2_Slap,4.312182426,4.103662968,0.204864144,4.107318401,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.315196514,4.104833603,0.218668863,4.096527576,4.37E-05,1,0.036644798,0.041385725
0.001L2_Slap,4.270221233,4.103362083,0.182452306,4.087769032,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.27721262,4.099680901,0.194999963,4.082212448,9.46E-05,1,0.110010039,0.125053996
0.001L2_Slap,4.164251804,4.048397064,0.143476039,4.020775795,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,4.222421169,4.022705078,0.176733047,4.045688152,0.001920495,1,0.283744143,0.314341457
0.001L2_Slap,4.00151062,3.940520048,0.116770394,3.884740353,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.986630917,4.000601768,0.120052427,3.866578579,0.005941748,1,0.496005263,0.493243065
0.001L2_Slap,3.840894699,3.742712736,0.097475976,3.743418694,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.774501085,3.672375202,0.105675951,3.66882515,0.00306265,1,0.532217198,0.542817206
0.001L2_Slap,3.68542099,3.682534218,0.074856073,3.610564947,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.652467728,3.628978729,0.085283786,3.567183971,0.001945054,1,0.616205951,0.627993831
0.001L2_Slap,3.526954889,3.56913209,0.061047133,3.465907812,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.411794424,3.375615597,0.062354419,3.349440098,0.012764061,1,0.71951698,0.753895847
0.001L2_Slap,3.424120188,3.239989281,0.05121683,3.372903347,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.246555328,3.284840584,0.050678231,3.195877075,0.010520332,1,0.799591537,0.789806047
0.001L2_Slap,3.309118271,3.312806129,0.045336694,3.263781548,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.26595974,3.319926739,0.053727601,3.212232113,0.002340697,1,0.75770707,0.76412767
0.001L2_Slap,3.289130688,3.090424538,0.066758081,3.222372532,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.077923536,3.098793507,0.04193414,3.035989285,0.007285563,1,0.815656532,0.772140984
0.001L2_Slap,3.207724333,3.24559021,0.04049791,3.167226315,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.192799568,3.165952206,0.048351377,3.14444828,0.001775083,1,0.780338908,0.783715002
0.001L2_Slap,3.17725563,3.120644569,0.037126563,3.140129089,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.162925959,3.149686813,0.036795679,3.126130342,0.001080394,1,0.82654195,0.828047432
0.001L2_Slap,3.149649858,3.138362408,0.039009463,3.110640287,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.03975749,3.090388298,0.037116736,3.002640724,0.001402326,1,0.831924179,0.825822402
0.001L2_Slap,3.126652241,3.077716589,0.033283599,3.09336853,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.990949631,3.042402744,0.030661767,2.960287809,0.002809987,1,0.868059317,0.870936183
0.001L2_Slap,3.106239557,3.096717119,0.030814385,3.075425148,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.915864944,2.863112926,0.033538289,2.882326603,0.005728068,1,0.856811547,0.873214748
0.001L2_Slap,3.09833169,3.032518864,0.030546576,3.067785025,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.996143341,3.102784872,0.029025106,2.967118263,0.009295398,1,0.877370104,0.884217766
0.001L2_Slap,3.083559275,3.107410669,0.028167984,3.055391312,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.938033342,2.846887589,0.034697853,2.903335571,0.011288453,1,0.857827917,0.884895417
0.001L2_Slap,3.098420382,3.181864977,0.043774571,3.054645777,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.935248137,2.904507637,0.022951845,2.912296295,0.013974033,1,0.897525528,0.883578138
0.001L2_Slap,3.071201563,3.111204386,0.029893488,3.041308165,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.006313562,3.062510014,0.026490478,2.979823112,0.000767035,1,0.885880654,0.881904844
0.001L2_Slap,3.058535576,3.102786064,0.025554335,3.032981157,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.982813597,3.038371563,0.018953286,2.963860273,0.000236667,1,0.914857524,0.91420463
0.001L2_Slap,3.050363541,3.059434652,0.022364376,3.027999163,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.83342433,2.917230606,0.024137944,2.809286356,0.001410694,1,0.899170022,0.903704245
0.001L2_Slap,3.045737743,3.032764435,0.021234483,3.024503231,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.973496199,2.982500076,0.023854945,2.949641228,0.000171664,1,0.891753249,0.892144076
0.001L2_Slap,3.038048983,3.029070616,0.019952409,3.018096685,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.892964602,2.854831457,0.023255661,2.869709015,0.000908675,1,0.896909982,0.9013476
0.001L2_Slap,3.032213449,3.023616314,0.019120084,3.013093472,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.942123175,2.901621819,0.021659302,2.9204638,0.000350231,1,0.901762578,0.90354468
0.001L2_Slap,3.027374029,3.01112175,0.01783148,3.009542465,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.906644344,2.899176598,0.020751357,2.885892868,0.000343916,1,0.907633865,0.914605619
0.001L2_Slap,3.02229166,3.009228945,0.01685329,3.005438328,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.927410364,2.917259693,0.023213618,2.904196739,0.000314741,1,0.894434341,0.90021862
0.001L2_Slap,3.019407988,3.004594803,0.016672732,3.002735138,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.978150845,3.076010704,0.022005942,2.95614481,0.00992512,1,0.910641616,0.914881082
0.001L2_Slap,3.019726276,2.959408998,0.016301567,3.003424644,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.87561965,2.888966322,0.013904408,2.861715317,0.000741442,1,0.938103422,0.933407959
0.001L2_Slap,3.009693384,3.003632307,0.014262212,2.995431185,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.953570127,2.877762318,0.017358961,2.936211109,0.002707409,1,0.920371186,0.928104328
0.001L2_Slap,3.006054878,3.020603657,0.013587749,2.992467165,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.906113386,2.893329144,0.014016676,2.892096758,0.003614521,1,0.938704808,0.950886931
0.001L2_Slap,3.004750252,3.009982347,0.015190128,2.989560127,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.627820969,2.656720638,0.012279514,2.615541458,0.001883426,1,0.950171833,0.941396988
0.001L2_Slap,3.00031209,2.989069462,0.012315579,2.987996578,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.893558502,2.929280281,0.019345079,2.874213457,0.002829188,1,0.917665736,0.923783644
0.001L2_Slap,2.997793674,2.993681908,0.012116793,2.985676765,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.798111439,2.885575294,0.008740536,2.789371014,0.002014391,1,0.965485197,0.96804981
0.001L2_Slap,2.994978905,2.969890833,0.012406366,2.982572556,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.909300327,2.962706089,0.012472866,2.896827459,0.003698024,1,0.945432458,0.940565349
0.001L2_Slap,2.994016647,2.958189964,0.01280877,2.981207848,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.861268044,2.953849077,0.007799729,2.853468418,0.00462733,1,0.970137732,0.972199559
0.001L2_Slap,2.993490934,3.045957327,0.014857797,2.978633165,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.850299597,2.769532204,0.020543868,2.829755783,0.00599532,1,0.909589111,0.908046044
0.001L2_Slap,2.98402524,2.962342024,0.009771097,2.974254131,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.827932596,2.867866516,0.008896641,2.819036007,0.001240255,1,0.962417756,0.963461216
0.001L2_Slap,2.979162693,2.987819433,0.010303685,2.968858957,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.745013475,2.796937466,0.004706209,2.740307331,0.000406297,1,0.981200449,0.977538386
0.001L2_Slap,2.977359772,2.958798647,0.0106866,2.966673136,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.853532076,2.891161442,0.009905679,2.843626499,0.001362433,1,0.955754393,0.953845195
0.001L2_Slap,2.971772432,2.951040506,0.009609297,2.96216321,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.872034788,2.878218174,0.009161875,2.862872839,0.000271462,1,0.958469146,0.963362491
0.001L2_Slap,2.96449399,2.970820427,0.00888453,2.95560956,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.931927204,2.984944105,0.011008579,2.920918703,0.001837676,1,0.955073515,0.967478483
0.001L2_Slap,2.961778402,2.954037189,0.00864864,2.953129768,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.942917585,2.994613171,0.008937784,2.93397975,0.005123967,1,0.959053657,0.952565995
0.001L2_Slap,2.956789255,2.979524136,0.008201922,2.948587418,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.842419386,2.779697418,0.017392986,2.825026512,0.003600005,1,0.924035703,0.949659045
0.001L2_Slap,2.964950085,2.916861296,0.01353585,2.951414347,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.78446722,2.927708387,0.015523048,2.768944263,0.026722131,1,0.945211765,0.951533091
0.001L2_Slap,2.961384058,2.920159578,0.011879103,2.949504852,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,3.00523448,2.966854572,0.010618805,2.994615793,0.000845491,1,0.948767072,0.934489004
0.001L2_Slap,2.950333595,2.957292557,0.008442916,2.941890717,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.938907862,2.892144203,0.013929185,2.924978733,0.000832992,1,0.935145854,0.937889978
0.001L2_Slap,2.94626379,2.974270821,0.007798432,2.938465357,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.850164413,2.893039227,0.004074149,2.846090317,0.000511357,1,0.981553527,0.982553244
0.001L2_Slap,2.943007946,2.964432955,0.007637769,2.935370207,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.896946907,2.921441078,0.007643275,2.889303684,0.00060096,1,0.965309247,0.967513655
0.001L2_Slap,2.941938162,2.926702976,0.007300114,2.934638023,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.754500866,2.801521778,0.001424705,2.753076077,0.000480628,1,0.994412998,0.995156543
0.001L2_Slap,2.938976765,2.962642431,0.007183386,2.931793451,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.789885283,2.807046413,0.00901018,2.780875206,0.000836778,1,0.9599952,0.958286439
0.001L2_Slap,2.937587261,2.974231958,0.006935827,2.930651426,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.919230461,2.919524908,0.011227805,2.908002615,0.000292177,1,0.947923339,0.94806672
0.001L2_Slap,2.935035229,2.95165062,0.006554648,2.928480625,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.846213818,2.85322094,0.008626689,2.837587118,0.000283276,1,0.960780948,0.962126532
0.001L2_Slap,2.9333601,2.962074041,0.007495761,2.925864458,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.982167244,2.96829319,0.005243716,2.976923466,0.001565898,1,0.975458143,0.974275261
0.001L2_Slap,2.935984373,2.984286547,0.009712406,2.926271915,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.888730288,2.898027182,0.008879099,2.879851103,0.001288919,1,0.959790639,0.950279879
0.001L2_Slap,2.942935467,2.878851414,0.012296834,2.930638552,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.807637453,2.760249615,0.014703142,2.792934418,0.000316856,1,0.937584697,0.924898567
0.001L2_Slap,2.930258512,2.920289278,0.006305419,2.923953056,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.821223497,2.799243212,0.004715949,2.816507578,0.002853821,1,0.978597146,0.984635788
0.001L2_Slap,2.92945981,2.912263393,0.006302802,2.923156977,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.900651932,2.860527515,0.007518652,2.893133163,0.002769035,1,0.964778228,0.979097494
0.001L2_Slap,2.932455063,2.988483429,0.010374378,2.922080755,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.867093086,2.898400784,0.003466378,2.863626719,0.003456455,1,0.984199426,0.974133985
0.001L2_Slap,2.925196886,2.925158262,0.006643894,2.918552876,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.807284832,2.82892561,0.004725478,2.802559376,0.000395068,1,0.978884147,0.984123011
0.001L2_Slap,2.925189495,2.96812439,0.006309935,2.918879509,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.91335988,2.873082638,0.013073441,2.900286436,0.003809903,1,0.939456447,0.952517345
0.001L2_Slap,2.922606468,2.964607,0.005945628,2.916660786,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.773126841,2.814698696,0.004942603,2.768184185,0.000505288,1,0.979078752,0.979596035
0.001L2_Slap,2.920165539,2.934112787,0.005554692,2.914610863,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.771504641,2.800712347,0.004295024,2.76720953,0.000451312,1,0.980956118,0.982973732
0.001L2_Slap,2.948750734,3.126841068,0.009138346,2.939612389,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.886211395,2.880746365,0.016847098,2.869364262,0.027925393,1,0.924149025,0.967479986
0.001L2_Slap,2.920689106,2.95704174,0.006114805,2.914574385,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.791403055,2.807888985,0.004097535,2.787305593,0.002788243,1,0.981610192,0.9829298
0.001L2_Slap,2.922373056,2.89499855,0.006252565,2.916120529,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.944631338,2.935548067,0.003947477,2.940683842,0.000379982,1,0.9810356,0.981093966
0.001L2_Slap,2.921260118,2.89380002,0.00769046,2.913569689,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.84219265,2.842913866,0.006663856,2.835528851,0.001537911,1,0.969762524,0.962466154
0.001L2_Slap,2.916700363,2.904686689,0.005191849,2.91150856,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.905177593,2.916984558,0.002802322,2.902375221,0.000225201,1,0.98689704,0.987298819
0.001L2_Slap,2.914071798,2.929589748,0.004923551,2.909148216,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.903103828,2.806685925,0.01775226,2.885351658,0.006740297,1,0.919930063,0.963936184
0.001L2_Slap,3.008018255,3.167334318,0.064048462,2.943969727,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.956506968,2.87305212,0.014422256,2.942084789,0.05465056,1,0.932537565,0.795042118
0.001L2_Slap,2.929270744,2.873226643,0.00824214,2.921028614,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.93172121,2.77436161,0.028092997,2.903628111,0.007463552,1,0.871329031,0.942247948
0.001L2_Slap,2.924185753,3.009853125,0.009023495,2.915162325,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.760748625,2.885477781,0.010791092,2.749957561,0.001037695,1,0.958630847,0.962856068
0.001L2_Slap,2.923783064,2.871640444,0.008266308,2.915516853,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.852437019,2.855808735,0.005218276,2.847218752,0.001473246,1,0.975906221,0.97182846
0.001L2_Slap,2.913237572,2.926861286,0.00596911,2.907268524,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.837205887,2.864896297,0.002554311,2.83465147,0.000568359,1,0.988266575,0.989230976
0.001L2_Slap,2.911181211,2.932419777,0.005556182,2.905625105,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.847019196,2.867492914,0.002412339,2.844606876,0.000680026,1,0.988952685,0.988186922
0.001L2_Slap,2.909669399,2.919455051,0.005166845,2.90450263,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.933331728,2.971993923,0.004846286,2.928485394,0.000721647,1,0.976948675,0.976952659
0.001L2_Slap,2.910247803,2.944105625,0.005123162,2.905124664,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.883938313,2.865561485,0.009591341,2.874346972,0.000948444,1,0.955511419,0.95768167
0.001L2_Slap,2.909339666,2.899085283,0.005058285,2.904281378,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.917108059,2.899054527,0.005257983,2.911849976,0.000314422,1,0.975123821,0.975134859
0.001L2_Slap,2.907610655,2.908150911,0.004818217,2.902792454,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.860654831,2.874360561,0.00379597,2.856858969,0.000301899,1,0.983039411,0.983605842
0.001L2_Slap,2.907322168,2.93974638,0.004635901,2.902686357,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.828369617,2.85665369,0.003379793,2.824989796,0.000318143,1,0.985044051,0.984549225
0.001L2_Slap,2.906086683,2.920988798,0.00447377,2.901612997,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.848135471,2.836755991,0.008089915,2.840045452,0.000322133,1,0.962846643,0.9637732
0.001L2_Slap,2.90669632,2.901457548,0.004431227,2.902265072,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.737075329,2.736658573,0.003228636,2.733846664,0.000467563,1,0.985756091,0.989401355
0.001L2_Slap,2.904961109,2.908352852,0.004319931,2.900641203,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.717179298,2.769156218,0.0037117,2.713467598,0.001348872,1,0.985543463,0.985149146
0.001L2_Slap,2.904721975,2.912766695,0.00434821,2.900373697,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.778002739,2.754253387,0.006906431,2.77109623,0.001048052,1,0.969282479,0.970709948
0.001L2_Slap,2.903756142,2.928658247,0.004015638,2.899740458,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.649834156,2.708469152,0.001674088,2.648159981,0.000583656,1,0.993063984,0.994351305
0.001L2_Slap,2.904294491,2.904531717,0.004042466,2.900252104,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.648472548,2.694598198,0.001592179,2.646880388,0.000343392,1,0.993740145,0.995082516
0.001L2_Slap,2.904053926,2.900244951,0.00405918,2.89999485,TRUE,0,0.001,Adam,0,0.001,FALSE,512,,2.735276699,2.758702993,0.001912053,2.733364582,0.000427955,1,0.992428099,0.993172749
