model,loss,entropy,value_loss,policy_loss,use_slap,Num_ResBlock,lr,optimizer,dropout,L2,extra_act_fc,batch_size,special,train_loss,train_entropy,train_value_loss,train_policy_loss,kl,lr_multiplier,explained_var_old,explained_var_new
0.001L2_cc_state,4.379232407,4.156274796,0.223864883,4.155367374,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.368727684,4.157343864,0.214573905,4.154153824,0.00021231,1,0.000194096,0.001501941
0.001L2_cc_state,4.378332138,4.144637585,0.222079888,4.156252384,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.377159595,4.144183159,0.221289143,4.155870438,2.81E-05,1,0.003137271,0.003756681
0.001L2_cc_state,4.372834682,4.145434856,0.218672842,4.15416193,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.359263897,4.146114349,0.221230865,4.138032913,2.70E-05,1,0.020788806,0.023271554
0.001L2_cc_state,4.359272003,4.142214775,0.211677864,4.147593975,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.350054741,4.143552303,0.208660692,4.141394138,7.12E-05,1,0.047670282,0.0539424
0.001L2_cc_state,4.293874741,4.126406193,0.182379425,4.111495495,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.293056965,4.126106262,0.176435068,4.116621971,0.0004913,1,0.192249346,0.213882498
0.001L2_cc_state,4.205461025,4.079306602,0.130525634,4.074935436,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.193997383,4.07015419,0.14044559,4.053551674,0.000865251,1,0.376265894,0.390166788
0.001L2_cc_state,4.164105415,4.062765121,0.101642236,4.062463284,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.175035,4.013880253,0.105766028,4.06926918,0.00734664,1,0.550489853,0.55711585
0.001L2_cc_state,4.144863129,4.032580853,0.089967079,4.054895878,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.129702091,4.026963234,0.093906865,4.035795212,0.000265831,1,0.588200744,0.593861721
0.001L2_cc_state,4.138861179,4.032725334,0.088494793,4.050366402,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.114486217,4.049213409,0.091217518,4.0232687,0.000851973,1,0.605666675,0.619099934
0.001L2_cc_state,4.12932539,4.045236588,0.085952558,4.043372631,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.085888386,4.030230522,0.089299545,3.996588945,0.000501194,1,0.624174328,0.627667541
0.001L2_cc_state,4.119084358,4.047169209,0.080215767,4.038868427,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.101862907,4.033548355,0.07982564,4.022037029,0.000290814,1,0.635896965,0.631665079
0.001L2_cc_state,4.109665871,4.044303417,0.079846807,4.029819012,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.130366802,4.02856636,0.094234779,4.036131859,0.002111401,1,0.554399615,0.5441232
0.001L2_cc_state,4.096056938,4.004381657,0.074401155,4.02165556,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.056847095,4.013386726,0.05990281,3.996944189,0.000238849,1,0.727369993,0.725835304
0.001L2_cc_state,4.075424194,3.987176657,0.067206502,4.008217812,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.026217461,4.003458023,0.0563084,3.969909191,0.000194595,1,0.743915105,0.746931588
0.001L2_cc_state,4.052944183,3.982272387,0.064344242,3.988599777,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.035359859,3.997764587,0.067131817,3.968227863,0.00046835,1,0.697718041,0.703573446
0.001L2_cc_state,4.032059193,3.990059614,0.064536162,3.967523098,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,4.044105053,3.962761164,0.071667083,3.972437859,0.00429251,1,0.671920055,0.674034625
0.001L2_cc_state,3.995573521,3.929225683,0.060580503,3.934993029,FALSE,0,0.001,Adam,0,0.001,FALSE,512,_cc_state,3.976715326,3.927772045,0.057997704,3.918717623,0.000461869,1,0.730056137,0.73455573
