win_1k,win_3k,win_5k,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.2,0.1,0.366666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,0.4,0.3,0.433333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.5,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.5,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.1,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.5,0.3,0.566666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.4,0.2,0.466666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6,0.1,0.566666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,0.4,0.65,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.5,0.5,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.8,0.7,0.833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.8,0.35,0.683333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.7,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.9,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.5,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6,0.6,0.733333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.7,0.8,0.833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
game_time,e_time,update_time,total_time,game_len,is_jarviscloud,sec/move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.17293882,1.679118816,0.321202146,18.17325978,16.7284,TRUE,0.69609263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
script_name,keep_old_csv,board_width,board_height,n_in_row,learn_rate,adaptive_n,adaptive_sigma_num,dropout,extra_act_fc,optimizer,L2,lr_multiplier,temp,n_playout,c_puct,buffer_size,buffer_size_later,batch_size,play_batch_size,stage0_duration,epochs_early,epochs_full,kl_targ,check_freq,checkpoint_freq,game_batch_num,start_i,best_win_ratio,pure_mcts_playout_num,normalized,only_multi_evaluate,trial_run_name,current_policy_path,best_policy_path,noise,Dirichlet,explore,evaluate_cpu_n,num_ResBlock,use_slap,slap_open,warmup_offset,cc_fn
train_v12.py,FALSE,8,8,5,0.001,100,3,0,FALSE,Adam,0.001,1,1,400,5,10000,40000,512,1,1000,10,10,0.02,25,250,5000,0,0,1000,TRUE,TRUE,v12_n0(3)_Adam_0.1noise0.4_0.3D_0.25expl_0.001lr_0.001L2_0drp_10000buffer40000_10e,./weights/current_v12_n0(3)_Adam_0.1noise0.4_0.3D_0.25expl_0.001lr_0.001L2_0drp_10000buffer40000_10e.model,./weights/best_v12_n0(3)_Adam_0.1noise0.4_0.3D_0.25expl_0.001lr_0.001L2_0drp_10000buffer40000_10e.model,"(0.1, 0.4)",0.3,0.25,7,0,FALSE,FALSE,8,
