win_1k,win_3k,win_5k,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,0,0,0.033333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,0.2,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0,0.3,0.366666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,0.4,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,0.5,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.4,0.2,0.533333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,0.6,0.4,0.533333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.5,0.5,0.633333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.3,0.4,0.533333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.5,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.5,0.3,0.533333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6,0.4,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.4,0.3,0.533333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.5,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.8,0.5,0.733333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.7,0.3,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.4,0.5,0.566666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.6,0.4,0.633333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.5,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.8,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
game_time,e_time,update_time,total_time,game_len,is_jarviscloud,sec/move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.55339866,1.4767604,0.275982683,19.30614174,16.017,TRUE,0.789064558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
script_name,keep_old_csv,board_width,board_height,n_in_row,learn_rate,adaptive_n,adaptive_sigma_num,dropout,extra_act_fc,optimizer,L2,lr_multiplier,temp,n_playout,c_puct,buffer_size,buffer_size_later,batch_size,play_batch_size,stage0_duration,epochs_early,epochs_full,kl_targ,check_freq,checkpoint_freq,game_batch_num,start_i,best_win_ratio,pure_mcts_playout_num,normalized,only_multi_evaluate,trial_run_name,current_policy_path,best_policy_path,noise,Dirichlet,explore,evaluate_cpu_n,num_ResBlock,use_slap,slap_open,warmup_offset,cc_fn
train_v12_slap.py,FALSE,8,8,5,0.00025,100,3,0.2,FALSE,Adam,0.001,1,1,400,5,10000,1250,512,1,1000,10,10,0.02,25,250,5000,0,0,1000,TRUE,TRUE,v12_s0(4_1250buf)_Adam_0noise0_0.15D_0expl_2.5e-4lr_1e-3L2_0.2drp_1250buffer1250_10e,./weights/current_v12_s0(4_1250buf)_Adam_0noise0_0.15D_0expl_2.5e-4lr_1e-3L2_0.2drp_1250buffer1250_10e.model,./weights/best_v12_s0(4_1250buf)_Adam_0noise0_0.15D_0expl_2.5e-4lr_1e-3L2_0.2drp_1250buffer1250_10e.model,"(0, 0)",0.15,0,7,0,FALSE,TRUE,8,
